postcode,longitude,latitude
SE1 0AA,-0.10177244775247894,51.498707613011
SE1 0AB,-0.09548469821386141,51.50403718314141
SE1 0AD,-0.10101632343108626,51.499567651036934
SE1 0AE,-0.10411198513900473,51.498574599709634
SE1 0AG,-0.10270292560979062,51.499199276681864
SE1 0AH,-0.10250807206214829,51.499034257827766
SE1 0AJ,-0.10039850110217163,51.49917995709631
SE1 0AL,-0.09610308305788405,51.50475763677433
SE1 0AN,-0.10351630168064799,51.49904157423169
SE1 0AP,-0.10523413217664454,51.49896143081355
SE1 0AQ,-0.10213767065775274,51.49928005606004
SE1 0AR,-0.09598905410186033,51.504036379938505
SE1 0AS,-0.0961304692154712,51.503409195768654
SE1 0AT,-0.09623967082439353,51.503554849638114
SE1 0AX,-0.09529231413551786,51.503467526736216
SE1 0BB,-0.10112417524559271,51.502518960025725
SE1 0BD,-0.10109724501843392,51.50247356114682
SE1 0BE,-0.10055566221564734,51.50163747444983
SE1 0BF,-0.10105666298944968,51.502409956076356
SE1 0BH,-0.10257490429788531,51.50228165613388
SE1 0BJ,-0.10289146465365161,51.50194505989987
SE1 0BL,-0.1016042394381107,51.50310225622468
SE1 0BQ,-0.09878517925918934,51.501249082643824
SE1 0BS,-0.10099481824290797,51.5035510106011
SE1 0BU,-0.09938132167057218,51.50146557469274
SE1 0BW,-0.1035139737692202,51.50187419517891
SE1 0BX,-0.09891626268257109,51.501215237362054
SE1 0BY,-0.10241934218890296,51.502557908698876
SE1 0BZ,-0.10204965800464375,51.50278573316673
SE1 0DB,-0.10097665157192628,51.502948214508706
SE1 0DF,-0.10204965800464375,51.50278573316673
SE1 0DG,-0.09963486665247306,51.50021971613663
SE1 0DH,-0.10029362719007937,51.4999696046174
SE1 0DL,-0.10094416225109154,51.49991719278885
SE1 0DN,-0.09946712933771511,51.49974938415226
SE1 0DP,-0.10185855377342463,51.50010285513516
SE1 0DQ,-0.10029419881872181,51.50030233901019
SE1 0DT,-0.09863708206798379,51.50065317190188
SE1 0DW,-0.10185855377342463,51.50010285513516
SE1 0DY,-0.10021705661726354,51.503196696596696
SE1 0EA,-0.09961041949846816,51.50323183085469
SE1 0EB,-0.09840032647002799,51.50287949079137
SE1 0ED,-0.0982898323224235,51.50103422205371
SE1 0EF,-0.09815275209282283,51.50190427856334
SE1 0EH,-0.10058750051808632,51.50295090502017
SE1 0EL,-0.09794178513490118,51.50351052723166
SE1 0EN,-0.09869859358619772,51.50298324498554
SE1 0EP,-0.09769102732097124,51.50295791327237
SE1 0EQ,-0.09884782207427158,51.50216734037999
SE1 0ER,-0.09737761501404811,51.50287189593469
SE1 0ES,-0.09662790810486377,51.50322842614553
SE1 0ET,-0.09681339709773824,51.50361811698555
SE1 0EU,-0.09646260726633771,51.50304589180163
SE1 0EW,-0.09814001985038005,51.502902247417154
SE1 0EX,-0.09690132127341189,51.50289114556099
SE1 0EY,-0.09642073933354686,51.50266752420457
SE1 0FA,-0.09642049543666131,51.50371065853926
SE1 0FB,-0.09660390718412165,51.50449598903361
SE1 0FD,-0.09784149234604222,51.50591890874033
SE1 0FF,-0.10128698562325025,51.50484167786065
SE1 0FG,-0.10128698562325025,51.50484167786065
SE1 0FH,-0.10353241415015378,51.49934758212925
SE1 0FJ,-0.103152094943394,51.49948531232983
SE1 0FL,-0.10093167692959462,51.505069731600884
SE1 0FN,-0.10034829850531708,51.50211971441552
SE1 0FP,-0.10034829850531708,51.50211971441552
SE1 0FQ,-0.10034829850531708,51.50211971441552
SE1 0FR,-0.099151891093136,51.503862872126575
SE1 0FT,-0.09851457508285148,51.50394246635429
SE1 0FU,-0.10393586826242777,51.50212381619463
SE1 0FW,-0.10244238014418397,51.505471871976766
SE1 0FX,-0.10393586826242777,51.50212381619463
SE1 0FY,-0.10299244154043141,51.49986041777461
SE1 0GB,-0.10146664591168277,51.50051916200166
SE1 0GD,-0.10037846009989244,51.50381979816926
SE1 0GE,-0.09984568115337475,51.50381116716573
SE1 0GF,-0.09815966816606322,51.50208424214277
SE1 0GG,-0.09803381998603473,51.50199227550058
SE1 0GH,-0.09879789310401169,51.50232839723203
SE1 0GJ,-0.09845306649595145,51.502304821467405
SE1 0GN,-0.09853553508759377,51.502054366639896
SE1 0HE,-0.09988718993728059,51.50350609242285
SE1 0HF,-0.10017854045422497,51.503429879401175
SE1 0HG,-0.1002123748657833,51.502962814008704
SE1 0HL,-0.09666017764843832,51.50487459018429
SE1 0HR,-0.09763374593865877,51.50502527497552
SE1 0HS,-0.09769453594150834,51.50460361034683
SE1 0HT,-0.09758981862682709,51.50435011981894
SE1 0HU,-0.09769453594150834,51.50460361034683
SE1 0HX,-0.099563511240147,51.505398279199866
SE1 0JA,-0.09922053090964382,51.50532977293595
SE1 0JE,-0.10131602531778998,51.505876292724665
SE1 0JF,-0.10217218967862954,51.506078994182865
SE1 0JN,-0.09913953125148411,51.50069728730899
SE1 0JP,-0.09913953125148411,51.50069728730899
SE1 0LA,-0.09628753037875487,51.50378943338075
SE1 0LB,-0.09689679788442997,51.50369141095865
SE1 0LD,-0.09714345891911531,51.50365045052311
SE1 0LE,-0.09728632947544152,51.50367974626711
SE1 0LF,-0.09750344283433035,51.50365629082707
SE1 0LG,-0.09766183579542564,51.503658860211004
SE1 0LH,-0.10037846009989244,51.50381979816926
SE1 0LL,-0.09862453829773733,51.50337771739999
SE1 0LN,-0.09975348366937616,51.50360284428484
SE1 0LQ,-0.09628753037875487,51.50378943338075
SE1 0LR,-0.10229710783508594,51.50341921705934
SE1 0LT,-0.1027748983855214,51.503363999446954
SE1 0LU,-0.1027748983855214,51.503363999446954
SE1 0LX,-0.10239923610548496,51.503735609329745
SE1 0NE,-0.09611282205161777,51.50452398806093
SE1 0NJ,-0.09616313762786215,51.50435394604207
SE1 0NL,-0.09775065561028717,51.50394806312591
SE1 0NQ,-0.09550766345265015,51.504523154919184
SE1 0NR,-0.09872906754053727,51.50467434179773
SE1 0NS,-0.10128698562325025,51.50484167786065
SE1 0NW,-0.09684124391401493,51.5039872642611
SE1 0NZ,-0.10000186403558818,51.50525250804836
SE1 0PN,-0.09677329948009868,51.50527209903035
SE1 0PY,-0.1042763030880139,51.50294764295319
SE1 0PZ,-0.10261495665246653,51.50270495470523
SE1 0QA,-0.10305775210955519,51.50245133337615
SE1 0QB,-0.10389476100054354,51.50241990619603
SE1 0QL,-0.09968667211909782,51.500706154464694
SE1 0QN,-0.10117494262947795,51.50060436499419
SE1 0QP,-0.10095879544906719,51.50095157529623
SE1 0QR,-0.10146128980682807,51.501688109193374
SE1 0QW,-0.10109398547130363,51.50081887582905
SE1 0QX,-0.10125464635791195,51.50145994951281
SE1 0QZ,-0.10202284205426758,51.50169719866963
SE1 0RA,-0.10212587363565705,51.50164491068022
SE1 0RB,-0.10182308133163405,51.50095657502804
SE1 0RD,-0.10224250580154218,51.50091840013666
SE1 0RE,-0.10188270615053364,51.50056186707331
SE1 0RF,-0.1027582406801929,51.50098969268229
SE1 0RH,-0.1043351433353609,51.50083534151677
SE1 0RJ,-0.10281449864743275,51.5006758629426
SE1 0RL,-0.10378479138038041,51.50055666716683
SE1 0RN,-0.10390049996738865,51.500198835343696
SE1 0RQ,-0.10368049515498619,51.50098662393291
SE1 0RR,-0.10287106767522379,51.49966061786796
SE1 0RW,-0.10230655385234166,51.49972342493751
SE1 0RY,-0.10265658841474137,51.49962117776974
SE1 0RZ,-0.10187141228920722,51.49944660566001
SE1 0SA,-0.10143013378633145,51.49966427676649
SE1 0SB,-0.10239896935958191,51.50027346705135
SE1 0SD,-0.10235524107403002,51.50063246221202
SE1 0SE,-0.10188270615053364,51.50056186707331
SE1 0SH,-0.10192599436088935,51.50194742312623
SE1 0SS,-0.10001291527054637,51.50602604758336
SE1 0SW,-0.09983319087623885,51.50584328454144
SE1 0TA,-0.09996261197943149,51.50619609133625
SE1 0TG,-0.09702068838606497,51.50590559318803
SE1 0TH,-0.09630180909717617,51.505866948688166
SE1 0TJ,-0.09598688122126225,51.505816873445525
